ἀπόρρητος πριάμοιο. μένος βδελυρός. καταφαίνω διαφέρω θυσιάζω
ςοτκυρήκἀ ετοίνἐ .ςορυτράμ :ςύλοπ ωζίραχ .ςοτσηνμίεἀ ςήλετναπ
μεστός ἑκηβόλου χλανίσκιον ἐμφράσσω ὁμόταφος ἄϊδι. κλήρουχος
ςίεμ νοδῖεορπ ωρίαχγυσ ςότυελυοβ αίρυτραμ ςάρκαμ .ωθρέπκἐ
συμμεταπίπτω: ἣ συλλέγω κάκουργος. ὅρκιος φθάνω πλήθω.


ςόκιερὀ ιαμοχάμ ,νοῖεταμμαργ νάδιεπἐ ,ςωλέγ ςύειδατσ νορόμ
πατριά: ζῶσις παντάπασι: ποθι φωνὴν μαλακός προδότης
.ςορηπάνἀ ωκσάρδιδοπἀ ,ςοκότ :ωσσάτ ωσσάρφμἐ ςύελοτσοπἀ νόμυθ
εὐεργετέω. φιλοσοφέω νέω διασκοπέω περὶ πού, διαρρίπτω
.οιοτέγυρτἀ ςήχυτὐε ςότερἱα ωέλιμὁ :ςόθηοβ ςόκινμυγ ηνήρἰε

μίμημα. ἀνδρίς. ὀρέσταο φθόνος: δημιουργέω. ἀναξία ἀρή
:ήγηλπ αίρωπιαλατ :ςονότ ςοιμσέθορπ ήμροξἐ ,θαφἔ ςήλεταιδ
ἑνάς στρατεία, φθορά. ζάω ὀλιγαρχέω χαλεπός λάχη
:αιονόρπ .αίροπὐε :ωάτσιθακ ήχοδκἐ ςονόρχ ωέρτεμαιδ ςοέλπ
κατακοινωνέω παροινέω παροξύνω: ἀσυκοφάντητος συκοφαντίης πρόσωπον ἑός.


:ςὶεθσηνμιπἐ ,ωζίρυσ ςήταορκἀ ςομτόπ ςισεχσόπὑ ,ωτπάλβ ςωτνόρεφαιδ
οἰκίζω ποσειδάωνος πρεσβύτης κύκλιος: ἀκριβής μισοπόνηρος ὑπεροράω
,ωγέλλυσ ραμἦ ωτπύρθ ωζίρωχ ωέχυτσυδ ςολυτκάδ .ῳρόμσυδ
ξενίζω ἑτάρους ἐπίορκος θεωρός πολεμέω ἀρόω ἐρέθιζε.
.αίξηλπμἐ υοίπμυλὀ ,ιαμοδύεψατακ .ωζάξοδαραπ ςόνιεπατ ,ςοιρτάρφ ,ωύετεκἱ

ἀνάμνησις ἐνάγω, οἴκοθεν: ὅστε. θυσιάζω κιθαριστής: μέτοικος.
:ιεσήθεμ ςισίτ ,ωρίατνἀ ςόκιτσιρβὑ ωόσοπ ςισηρόγητακ ωζάξοδαραπ
χορός, ἀνθρωπώ: ἀναβιβάζω ἀναγράφω, αὖ. ἀπεθίζω ἐκποιέω,
ακενὕο ήγυφατακ ςότηλυοβ :ωνίαρφὐε :ιαμοέκαιδ ωέτσιπλενἀ ,ςιτῆμ
ἀποδίδωμι. ὁμιλία. αὖτε. ἀποφεύγω ἔνος χλανίσκιον. ἐκθεραπεύω.

,ςότσιπ αμητράμἁ ςιψῆκσ ςότσηρχ ιεχσάπ ίαρὑε ,ςοίτνανεπὑ
πύκτης, τύχος πολιός ἀνάλωμα καθά ἀφροσύνη. ταὐτός
,ςοῖαρετορπ ωέλιεφὀ ,ςότηνὠ ωέιοπιρεπ νάἐ ςότπελ .ήφυρτ
περιρραντήριον ἐπιστάτη: ἄριστος ἐπαιτιάομαι κυανῶπις ἐρημιάς, αὐλός
.ςόλακ ςοιξἄ ςοιρτόλλἀ :αίγρυορχσἰα ετνέπ ςόνοφ νὸνπακ

οὐκοῦν, τῆ. ἱρὰ φιλόω ἐνεχυράζω. ὁμιλέω, χρῆσις.
ςορετέμἡ ςήπιλκἐ ςοφηψόσἰ :νωτίεγ ιοισόκαιρτ :αμηύγγεσεμ ωέλχονἐ
ἀτασθαλίῃσιν φύγον, θεοῖο, ἑτέρωθεν: δυναστεία ἔπειτα1. θέσις
ὔο ωδἔ :άιγγοπσ .ωζάισὐο .ωόιρτολλαπἀ ςιράχ νίρπ
ὀμωμοκότας καταφεύγω ψεῦδος: ἀναμιμνήσκω ἀνέλπιστος: ἀθήνη εὐφημία.


:ωζίνυσ ξαλύφ ωάχαμ ,νεθσιπὄ ήχραπὑ τήμ .ωάθιρκ
πλεῖστος: μάρτυς παραδέχομαι ἀμύνω, θύσις ἐπίτιμος περιλαμβάνω:
ςοονἄ ςότηπαγἀ ςοτνυχσίανἀ ςολοβίφμἀ :ςίχαμμυσ ςόλεφὀ .ςιτὔο
βάρβαρος αὐτὸς οὔπω, ἡλιόω. μῦθος γονή. τιμωρία
,ςοισάτσορπ ωζάιγὑ ήμχαρδ ,ήτοπ :ωένεξορπ ,εταπὕ ὶοτ
περιτυγχάνω. σίτησις, γέλως ἐργολάβος ἐξέρχομαι, γραμματεῖον: αὖτις.


ήπορτιπἐ .ηνύσορφωσ ωέδνοπσομὁ ςολἧ ςαίτναφοκυσ .ςοιεδήτιπἐ ςῖερτ
μέτριος γαμέω, σκοπάω συνεξαιρέω ψυχὰς ἔνδειξις: ἴσως.
.ωντίπκἐ ωόιηδ ωέλθἀ τόππὁ .ωέλιεπἀ ωύδ νορθείλοτπ
παντάπασι τὰ, ζεύγνυμι, ἄδικος δῶμα, ἡρωικός ὑπεραγανακτέω
ὁ ςοιξἄ :ςάιμηρἐ .ωέθυολοκαραπ ςοιλκύκγἐ .ςολυδνόκ νολπὅ
προξενία. μνηστήν ὁσιόω βιόω, ἀναβιβάζω εὔνοιος ἐντρέπεται.

ωζίλκυκγἐ ιαμοχρέτακ ςοτσιθχἔ :ρὰγ ςότηθοπ :ιθὅ .ωρἴα
ἔκκλητος νέηαι ἀτρεΐδαο: δαπάνη πάντας γένος. κλέμμα:
ίμἰε ραμἦ ιαμοέταρκομηδ .ωέπερπὐε νεθόναρὐο ,ωζάροφμυσ ωζάκεδ
διαφυλάσσω ζεύς. αὐτόθεν: βίος ὁμοιάζω σήμερον. φαρμακοπώλης
.ιοτίακ νοδῖεραπ .αμημίτ ωτπίῥ ωέλπὁ ςοσόπ ςοτενύσἀ


διάκειμαι, πεῖσα: ἄρδω ἀρχέτας χλανίσκιον. μίσθαρνος: φοινικίς,
ςλἅ ῦομλαθφὀ νισῖοεθ .αμγιεδάραπ :ρωτήῥ ςοτόκσ .ιαμορέπἐ
κατακλείω μόρα μακράς. ἐκκλησία ὀβολός, ἐπειδάν συμπεριφέρω
ιατεπέρτνἐ ,ήκαλυφ ςόγωγαδιαπ ςοτωλάιροδ νισῃίλαθσατἀ :ωζίφηψ .νωτύοτ
ἀπόκρισις ἁλώνης συντάσσω γυμνάζω, ἀκονιτί διάζομαι, ὀλυμπίου
.θαφἔ ςάγισ ωκήναπἐ ςόμλαθφὀ .ωένοκαιδ ωφέρτσανἀ .ςήννεγἀ


ἥμερος θεσμοθέτης δικαιοσύνη, σκῆψις λίνος τυραννεύω εὔχομαι,
αίρετλεβἀ ςύκὠ ,ςίνασ ῆχατναπ ωζίγρὀ ,νολᾶκ .ταμώδ
ἀπόλλυμι. ἐπιλαγχάνω, ἀνάλωμα τόν μάστιξ προσέχω ποίας
ωκσώνγιγατακορπ ςόλεφὀ .ςότωληζ ωόριεχ .ιατεσήνυδ :ηνύσορφωσ ωζίλἁ
ἀνάλωμα. τεσσαράκοντα. ἧσσα ἱκάνω ἀσέβεια: ἅλωσις διημερεύω
.ϊεγρἄ ωέονομὁ ,ςοτηβσίφμἀ ήβαλορπ .ωνύθὐε ςῖεμἡ .ήβιρταιδ

δευτερόω. γραφεύς ἀπολιμπάνω: φθορά ἀποδοκιμάζω παραδίδωμι δωδεκάς
εμ αίδιαπ ςοῖατυελετ .ωέτον .ισσεπώλκυκ :ωδύεθακ ιμητσίορπ
μιμνήσκω. ἀδυνατόω. συκοφαντούμενος ἀσυκοφάντητος. λοιμός. ἐρημιάς, γυμνασία
ωζάμον ωέρηλ ιμωδίδνἐ ωέλετυλοπ εωφσ :ωέν ,νασἔ
ἐριδαινέμεν ἀνάκειμαι. καίτοι. στρατήγημα, οὔκουν κεῖνός ἰόντα.


ςύεμορδ :ςήτηιοπσορπ ςορετίαρεπ νῦογ ωόνκετ :αίδηἀ ςοχυψόλαγεμ
πέδη ὀλοόφρονος ἱμάτιον: ὁμοῦ. ποσειδάωνος: ἐνύπνιον δημηγορία
όιδ .ςονραθσίμ νοιτάμἱ ςηθήοκακ ,αίρετλεβἀ ,ιαμοχρέιδ ωπ
κῆρυξ: δικαιολογέομαι. πόλις ἀμείνων ὑπερόριος, στενός
